filename,name,color,size,gender,category,is_new,purchase_url
New Liz 비세토스 쇼퍼_Cinnamon_M 1.png,New Liz 비세토스 쇼퍼,Cinnamon,M,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/new-liz-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%87%BC%ED%8D%BC/MWPGSLR02I8001.html
New Liz 비세토스 쇼퍼_Cognac_M 1.png,New Liz 비세토스 쇼퍼,Cognac,M,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/new-liz-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%87%BC%ED%8D%BC/MWPGSLR02I8001.html
New Liz 비세토스 쇼퍼_Soft Pink_M 1.png,New Liz 비세토스 쇼퍼,Soft Pink,M,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/new-liz-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%87%BC%ED%8D%BC/MWPGSLR02I8001.html
New Liz 엠보스드 모노그램 레더 쇼퍼_Black_M 1.png,New Liz 엠보스드 모노그램 레더 쇼퍼,Black,M,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/new-liz-%EC%97%A0%EB%B3%B4%EC%8A%A4%EB%93%9C-%EB%AA%A8%EB%85%B8%EA%B7%B8%EB%9E%A8-%EB%A0%88%EB%8D%94-%EC%87%BC%ED%8D%BC/MWPGALR01BK001.html
Ottomar 다이아몬드 퀼팅 레더 위켄더_Black_22 1.png,Ottomar 다이아몬드 퀼팅 레더 위켄더,Black,,FEMALE,트래블,TRUE,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%9F%AC%EA%B8%B0%EC%A7%80-%EB%B0%B1/ottomar-%EB%8B%A4%EC%9D%B4%EC%95%84%EB%AA%AC%EB%93%9C-%ED%80%BC%ED%8C%85-%EB%A0%88%EB%8D%94-%EC%9C%84%EC%BC%84%EB%8D%94/MMVGATT04BK001.html
Ottomar 디스코 비세토스 위켄더_Cognac_19.9 1.png,Ottomar 디스코 비세토스 위켄더,Cognac,19,MALE,트래블,TRUE,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%9F%AC%EA%B8%B0%EC%A7%80-%EB%B0%B1/ottomar-%EB%94%94%EC%8A%A4%EC%BD%94-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%9C%84%EC%BC%84%EB%8D%94/MMVGATT03CO001.html
Ottomar 비세토스 위켄더_Khaki Moss_22 1.png,Ottomar 비세토스 위켄더,Khaki Moss,,MALE,트래블,TRUE,https://kr.mcmworldwide.com/ko_KR/%ED%8A%B8%EB%9E%98%EB%B8%94/%EB%9F%AC%EA%B8%B0%EC%A7%80-%EB%B0%B1/ottomar-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%9C%84%EC%BC%84%EB%8D%94/MMVGATT07K8001.html
Pina 비세토스 스터드 장식 토트_Cognac_L 1.png,Pina 비세토스 스터드 장식 토트,Cognac,L,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/pina-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%8A%A4%ED%84%B0%EB%93%9C-%EC%9E%A5%EC%8B%9D-%ED%86%A0%ED%8A%B8/MWTGATA01CO001.html
Pina 비세토스 스터드 장식 토트_Cognac_M 1.png,Pina 비세토스 스터드 장식 토트,Cognac,M,FEMALE,토트백&쇼퍼백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%87%BC%ED%8D%BC-%ED%86%A0%ED%8A%B8%EB%B0%B1/pina-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%EC%8A%A4%ED%84%B0%EB%93%9C-%EC%9E%A5%EC%8B%9D-%ED%86%A0%ED%8A%B8/MWTGATA02CO001.html
Pina 비세토스 탬버린 백_Cognac_S 1.png,Pina 비세토스 탬버린 백,Cognac,S,FEMALE,숄더백&크로스백,TRUE,https://kr.mcmworldwide.com/ko_KR/%EC%97%AC%EC%84%B1/%ED%95%B8%EB%93%9C%EB%B0%B1/%EC%88%84%EB%8D%94%EB%B0%B1-%ED%81%AC%EB%A1%9C%EC%8A%A4%EB%B0%B1/pina-%EB%B9%84%EC%84%B8%ED%86%A0%EC%8A%A4-%ED%83%AC%EB%B2%84%EB%A6%B0-%EB%B0%B1-/MWRGAOB01CO001.html
